horizon,rmse,mae,r2,persistence_rmse
24,19.914969074188228,15.751535051318559,0.6546611358108674,23.362291442434906
48,27.257388626354633,21.73697467848161,0.374285452694446,31.069255950192137
72,28.98215056402413,22.82605549053934,0.2993891924277221,34.270505859570605
